Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,movie_success,earnings

Dick Johnson Is Dead,2020,PG-13,02 Oct 2020,89 min,"Documentary, Biography, Drama",Kirsten Johnson,"Nels Bangerter, Kirsten Johnson","Michael Hilow, Ana Hoffman, Dick Johnson",A daughter helps her father prepare for the end of his life.,English,United States,Won 1 Primetime Emmy. 19 wins & 43 nominations total,https://m.media-amazon.com/images/M/MV5BYzY5YjcxMzYtZDgxMS00ZjUyLWFmYjItYTNmZTU3ODAwMzBkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",89,7.4,"6,825",tt11394180,movie,02 Oct 2020,N/A,N/A,N/A,True
Dick Johnson Is Dead,2020,PG-13,02 Oct 2020,89 min,"Documentary, Biography, Drama",Kirsten Johnson,"Nels Bangerter, Kirsten Johnson","Michael Hilow, Ana Hoffman, Dick Johnson",A daughter helps her father prepare for the end of his life.,English,United States,Won 1 Primetime Emmy. 19 wins & 43 nominations total,https://m.media-amazon.com/images/M/MV5BYzY5YjcxMzYtZDgxMS00ZjUyLWFmYjItYTNmZTU3ODAwMzBkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"{'Source': 'Rotten Tomatoes', 'Value': '99%'}",89,7.4,"6,825",tt11394180,movie,02 Oct 2020,N/A,N/A,N/A,True
Dick Johnson Is Dead,2020,PG-13,02 Oct 2020,89 min,"Documentary, Biography, Drama",Kirsten Johnson,"Nels Bangerter, Kirsten Johnson","Michael Hilow, Ana Hoffman, Dick Johnson",A daughter helps her father prepare for the end of his life.,English,United States,Won 1 Primetime Emmy. 19 wins & 43 nominations total,https://m.media-amazon.com/images/M/MV5BYzY5YjcxMzYtZDgxMS00ZjUyLWFmYjItYTNmZTU3ODAwMzBkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"{'Source': 'Metacritic', 'Value': '89/100'}",89,7.4,"6,825",tt11394180,movie,02 Oct 2020,N/A,N/A,N/A,True
My Little Pony: A New Generation,2021,PG,24 Sep 2021,90 min,"Animation, Adventure, Comedy","Robert Cullen, Jos� Luis Ucha, Mark Fattibene","Tim Sullivan, Gillian Berrow, Robert Cullen","Vanessa Hudgens, Kimiko Glenn, James Marsden","After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria.",English,"United States, Ireland, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BOTY4ZmZjY2YtODg4ZS00YjlkLWJhOWMtMDU4Y2YyYjMwMDEzXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",N/A,6.8,"3,961",tt10101702,movie,24 Sep 2021,N/A,N/A,N/A,True
My Little Pony: A New Generation,2021,PG,24 Sep 2021,90 min,"Animation, Adventure, Comedy","Robert Cullen, Jos� Luis Ucha, Mark Fattibene","Tim Sullivan, Gillian Berrow, Robert Cullen","Vanessa Hudgens, Kimiko Glenn, James Marsden","After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria.",English,"United States, Ireland, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BOTY4ZmZjY2YtODg4ZS00YjlkLWJhOWMtMDU4Y2YyYjMwMDEzXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"{'Source': 'Rotten Tomatoes', 'Value': '92%'}",N/A,6.8,"3,961",tt10101702,movie,24 Sep 2021,N/A,N/A,N/A,True
Sankofa,1993,N/A,28 May 1993,125 min,Drama,Haile Gerima,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah","A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and psychic horrors of chattel slavery, and e...","Akan, English","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1 nomination,https://m.media-amazon.com/images/M/MV5BM2E0MGI2NWEtMWM5MC00MGYzLWFhMTUtZmZmOTMxOTc1OWEzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",93,7,732,tt0108041,movie,24 Sep 2021,"$2,198,984",N/A,N/A,True
Sankofa,1993,N/A,28 May 1993,125 min,Drama,Haile Gerima,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah","A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and psychic horrors of chattel slavery, and e...","Akan, English","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1 nomination,https://m.media-amazon.com/images/M/MV5BM2E0MGI2NWEtMWM5MC00MGYzLWFhMTUtZmZmOTMxOTc1OWEzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,"{'Source': 'Rotten Tomatoes', 'Value': '93%'}",93,7,732,tt0108041,movie,24 Sep 2021,"$2,198,984",N/A,N/A,True
Sankofa,1993,N/A,28 May 1993,125 min,Drama,Haile Gerima,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah","A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and psychic horrors of chattel slavery, and e...","Akan, English","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1 nomination,https://m.media-amazon.com/images/M/MV5BM2E0MGI2NWEtMWM5MC00MGYzLWFhMTUtZmZmOTMxOTc1OWEzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,"{'Source': 'Metacritic', 'Value': '93/100'}",93,7,732,tt0108041,movie,24 Sep 2021,"$2,198,984",N/A,N/A,True
The Starling,2021,PG-13,24 Sep 2021,102 min,"Comedy, Drama",Theodore Melfi,Matt Harris,"Melissa McCarthy, Chris O'Dowd, Kevin Kline","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...","English, Spanish",United States,2 wins,https://m.media-amazon.com/images/M/MV5BODZhZTk2MWEtYzg1Zi00NzY2LTlmOTAtNjA2MmMzN2I4OTZmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",31,6.3,"13,790",tt5164438,movie,24 Sep 2021,N/A,N/A,N/A,True
The Starling,2021,PG-13,24 Sep 2021,102 min,"Comedy, Drama",Theodore Melfi,Matt Harris,"Melissa McCarthy, Chris O'Dowd, Kevin Kline","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...","English, Spanish",United States,2 wins,https://m.media-amazon.com/images/M/MV5BODZhZTk2MWEtYzg1Zi00NzY2LTlmOTAtNjA2MmMzN2I4OTZmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"{'Source': 'Rotten Tomatoes', 'Value': '20%'}",31,6.3,"13,790",tt5164438,movie,24 Sep 2021,N/A,N/A,N/A,True
The Starling,2021,PG-13,24 Sep 2021,102 min,"Comedy, Drama",Theodore Melfi,Matt Harris,"Melissa McCarthy, Chris O'Dowd, Kevin Kline","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...","English, Spanish",United States,2 wins,https://m.media-amazon.com/images/M/MV5BODZhZTk2MWEtYzg1Zi00NzY2LTlmOTAtNjA2MmMzN2I4OTZmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"{'Source': 'Metacritic', 'Value': '31/100'}",31,6.3,"13,790",tt5164438,movie,24 Sep 2021,N/A,N/A,N/A,True
Je Suis Karl,2021,TV-MA,23 Sep 2021,126 min,"Drama, Romance, Thriller",Christian Schwochow,Thomas Wendrich,"Luna Wedler, Jannis Niew�hner, Milan Peschel","Maxi, the survivor of a terrorist attack, joins the beguiling student Karl and becomes part of a European youth movement; one that aims for nothing less than seizing power.","German, French, English, Arabic, Czech","Germany, Czech Republic",5 nominations,https://m.media-amazon.com/images/M/MV5BZDhlNzI1NzMtNTUyNi00MWQxLWE0OTEtOThhYTY0MWM3MGE0XkEyXkFqcGdeQXVyMTI0Nzk5NTQ2._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",N/A,5.5,"1,255",tt9205538,movie,N/A,N/A,N/A,N/A,True
Je Suis Karl,2021,TV-MA,23 Sep 2021,126 min,"Drama, Romance, Thriller",Christian Schwochow,Thomas Wendrich,"Luna Wedler, Jannis Niew�hner, Milan Peschel","Maxi, the survivor of a terrorist attack, joins the beguiling student Karl and becomes part of a European youth movement; one that aims for nothing less than seizing power.","German, French, English, Arabic, Czech","Germany, Czech Republic",5 nominations,https://m.media-amazon.com/images/M/MV5BZDhlNzI1NzMtNTUyNi00MWQxLWE0OTEtOThhYTY0MWM3MGE0XkEyXkFqcGdeQXVyMTI0Nzk5NTQ2._V1_SX300.jpg,"{'Source': 'Rotten Tomatoes', 'Value': '14%'}",N/A,5.5,"1,255",tt9205538,movie,N/A,N/A,N/A,N/A,True
Confessions of an Invisible Girl,2021,TV-PG,22 Sep 2021,91 min,"Comedy, Drama",Bruno Garotti,"Bruno Garotti, Fl�via Lins e Silva, Christiana Oliveira","Lucca Picon, Marcus Bessa, Caio Cabral","When the clever but socially-awkward Tet� joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",Portuguese,Brazil,2 nominations,https://m.media-amazon.com/images/M/MV5BYjI4NjRlYjgtN2E5Yi00ZGI1LThmNDktMWNlZjUzN2FiYTQ3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",N/A,5.2,"1,168",tt15204288,movie,22 Sep 2021,N/A,N/A,N/A,True
Intrusion,2021,TV-14,22 Sep 2021,92 min,"Drama, Thriller",Adam Salky,Chris Sparling,"Freida Pinto, Logan Marshall-Green, Robert John Burke","A woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BZTU2ZmFhZjktODFkMS00YTMyLTg2OTktMzY3Y2NkZGEwNDU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",39,5.2,"18,031",tt5563324,movie,22 Sep 2021,N/A,N/A,N/A,True
